KEY,Title,Name,Year,abstract,Source,MatchScore,DOI,URL,Venue,Entry,Primary_SDG,Primary_SDG_Score,Primary_SDG_Relevant,Primary_SDG_Semantic_Matched_Keywords
489fde1945496c44b1b3ed9d5a5072106c660c9d,How Enron Used Accounting for Prepaid Commodity Swaps to Delay Bankruptcy for One Decade: The Shadowy Relationships with Big Banks,"Abdel-Khalik, A. Rashad",2017,Accounting standards for prepaid commodity swaps did not exist until 2003. This absence of regulation gave Enron the opportunity to have its own homemade accounting. Two actions facilitated this task for Enron: (a) The Securities and Exchange Commission granted Enron in January 1992 a unilateral privilege to use mark-to-market valuation for energy contracts. This private communication was made at a time when viable markets did not exist. (b) Big banks colluded with Enron’s top executives to design structured finance contracts that allowed Enron to report at least US$8.7 billion of loans as cash flow from operations. Seventy-one percent of the cash flow from operations reported in the last 5 years of Enron’s existence came from these loans. JPMorgan Chase and Citigroup effectively made it easy for Enron to carry out this fraud. The two banks established their own special purpose entities to give these loans the appearance of legitimate trade transactions using prepaid commodity forwards and swaps. This article outlines some of the schemes that the two banks devised to help Enron appear financially healthy when in reality it was near bankruptcy for years.,Crossref,99.2063492063492,10.1177/0148558x17724249,https://doi.org/10.1177/0148558x17724249,"Journal of Accounting, Auditing &amp; Finance","Abdel-Khalik, A. (2017). How Enron Used Accounting for Prepaid Commodity Swaps to Delay Bankruptcy for One Decade: The Shadowy Relationships with Big Banks. Journal of Accounting, Auditing & Finance .",Goal 7,0.03488817435023962,False,
4a77f45606ff0859a83e6085065fb76d21ce693d,Growth in Financial Derivatives: The Public Policy and Accounting Incetives,"Abdel-Khalik, A. Rashad",2015,"Abstract During the period 1995–2012, US financial institutions had contributed significantly to the growth in financial derivatives. The notional amount of total derivatives held by the 25 largest US bank holding companies grew eighteen times from $16.6 trillion in 1995 to $308 trillion in 2012, while the US GDP merely doubled from $7.7 trillion to $16.2 trillion over the same period. In this paper, we examine three possible drivers of this growth:(a) the Gramm-Leach-Bliley Act of 1999,(b) the Commodity Futures Modernization Act of 2000, and (c) FAS …",Google Scholar (SerpAPI),91.3907284768212,,https://www.sciencedirect.com/science/article/pii/S0278425415000113,"AR Abdel-Khalik, PC Chen - Journal of Accounting and Public Policy, 2015 - Elsevier","Abdel-Khalik, A., & Chen, P. (2015). Growth in Financial Derivatives: The Public Policy and Accounting Incetives. Journal of Accounting and Public Policy , 34 291-318.",Goal 8,0.03145043832737773,False,GDP growth
f11c0b756dc60225e7de070ccc74dd9db6bd91e8,Economics of AI and Human Task Sharing for Decision Making in Screening Mammography,"Ahsen, Mehmet",2025,"The rising global incidence of breast cancer and the persistent shortage of specialized radiologists have heightened the demand for innovative solutions in mammography screening. Artificial intelligence (AI) has emerged as a promising tool to bridge this demand-supply gap, with potential applications ranging from full automation to integrated AI-human decision-making. This study evaluates the economic feasibility of incorporating artificial intelligence (AI) into mammography screening within healthcare settings, considering full or partial integration. To evaluate the economic viability, we employ an optimization model specifically designed to minimize mammography screening costs. This model considers three distinct approaches when interpreting mammograms: automation strategy utilizing AI exclusively, delegation strategy involving the selective allocation of tasks between radiologists and AI, and the expert-alone strategy relying solely on radiologist decisions. Our findings underscore the significance of disease prevalence in relation to the trade-off between costs associated with false positives (e.g., follow-up expenses) and false negatives (e.g., litigation costs stemming from missed diagnoses) in shaping the AI strategy for healthcare organizations. We backtest our approach using data from an AI contest in which participants aimed to match or surpass radiologists’ performance in assessing screening mammograms for women. The contest data supports the optimality of the delegation strategy, potentially leading to cost savings of 17.5% to 30.1% compared to relying solely on human experts. Our research provides guidance for healthcare organizations considering AI integration in mammography screening, with broader implications for work design and human-AI hybrid solutions in various fields.",Semantic Scholar,95.8730158730159,10.53685/jshmdc.v5i1.227,https://www.semanticscholar.org/paper/3e5f7f15c46ddf4d2c8df446c6e5a9ff835c40d8,Journal of Shalamar Medical &amp; Dental College - JSHMDC,"Ahsen, M., Ayvaci, M., Radha Mookerjee, R., & Stolovitzky, G.  Economics of AI and Human Task Sharing for Decision Making in Screening Mammography. Nature Communication, Nature Publishing Group .",Goal 5,0.02863362139726705,False,
94b1e1abc3d810d80decbff90df3bc4142da5f74,Leveraging Social Media for COVID-19 Response: Insights from a Data Competition,"Ahsen, Mehmet",2025,"The COVID-19 pandemic accelerated the adoption of digital platforms across various sectors, notably in education and healthcare, with remote learning and social media emerging as pivotal tools for communication and crisis management. Social networks played a crucial role in disseminating critical information, combating misinformation, and fostering community engagement. Recent research underscores the significance of social media in shaping public behavior towards adopting protective measures against COVID-19, yet quantifying its precise impact remains challenging due to the complexity of social relationships and diverse information sources. Multimodal data generated by social media platforms presents opportunities for more insightful Machine Learning (ML) models, but also poses technical challenges in data integration and interpretation. Leveraging crowdsourcing, we organized a data science competition aimed at forecasting COVID-19 positivity rates and identifying factors influencing its spread using infection and social media data. The competition facilitated collaborative problem-solving and provided actionable insights for public health communication and policy-making. This study outlines the competition structure, methodologies employed by participants, key findings, and implications for future pandemics and public health crises.",Semantic Scholar,93.1868131868132,10.1038/s41467-025-57409-1,https://www.semanticscholar.org/paper/9ce31dd34d8509509fa81a7602c00df40c6447ec,Nature Communications,"Ahsen, M., Khandelwal, A., Subramanyam, R., Ivanov, A., Mukherjee, U., Sumkin, D., & Seshadri, S.  Leveraging Social Media for COVID-19 Response: Insights from a Data Competition.",Goal 1,0.06926815231317254,True,COVID-19 impact; disease outbreaks
6c9c75f3d9540451745e7f8f5877f574db1a3ccf,Modeling combination therapies in patient cohorts and cell cultures using correlated drug action,"Ahsen, Mehmet",2024,"Characterizing the effect of combination therapies is vital for treating diseases like cancer. We introduce correlated drug action (CDA), a baseline model for the study of drug combinations in both cell cultures and patient populations, which assumes that the efficacy of drugs in a combination may be correlated. We apply temporal CDA (tCDA) to clinical trial data, and demonstrate the utility of this approach in identifying possible synergistic combinations and others that can be explained in terms of monotherapies. Using MCF7 cell line data, we assess combinations with dose CDA (dCDA), a model that generalizes other proposed models (e.g., Bliss response-additivity, the dose equivalence principle), and introduce Excess over CDA (EOCDA), a new metric for identifying possible synergistic combinations in cell culture.",Semantic Scholar,94.6341463414634,10.1038/nature13302,https://www.semanticscholar.org/paper/1f50f651b32791d4d9e44d99dda8fa8c92bd35e7,Nature,"Arun, A., Kim, S., Ahsen, M., & Stolovitzky, G.  Modeling combination therapies in patient cohorts and cell cultures using correlated drug action. ELife, Cold Spring Harbor Laboratory .",Goal 3,0.01857312575611028,False,
37b2f8ef64e8bb4248a0f4a5f1cbb0a96821bf56,Harnessing Unsupervised Ensemble Learning for Biomedical Applications: A Review of Methods and Advances,"Ahsen, Mehmet",2025,"Advancements in data availability and computational techniques, including machine learning, have transformed the field of bioinformatics, enabling the robust analysis of complex, high-dimensional, and heterogeneous biomedical data. This paper explores how diverse bioinformatics tasks, including differential expression analysis, network inference, and somatic mutation calling, can be reframed as binary classification tasks, thereby providing a unifying framework for their analysis. Traditional single-method approaches often fail to generalize across datasets due to differences in data distributions, noise levels, and underlying biological contexts. Ensemble learning, particularly unsupervised ensemble approaches, emerges as a compelling solution by integrating predictions from multiple algorithms to leverage their strengths and mitigate weaknesses. This review focuses on the principles and recent advancements in ensemble learning, with a particular emphasis on unsupervised ensemble methods. These approaches demonstrate their ability to address critical challenges in bioinformatics, such as the lack of labeled data and the integration of predictions from algorithms operating on different scales. Overall, this paper highlights the transformative potential of ensemble learning in advancing predictive accuracy, robustness, and interpretability across diverse bioinformatics applications.",Crossref,100.0,10.3390/math13030420,https://doi.org/10.3390/math13030420,Mathematics,"Ahsen, M. (2025). Harnessing Unsupervised Ensemble Learning for Biomedical Applications: A Review of Methods and Advances. Mathematics .",Goal 4,0.01182332183023501,False,
146d4c28293224cba0ceedc860621f0881f2e60b,Optimal Linear Ensemble of Binary Classifiers,"Ahsen, Mehmet",2024,"Abstract Motivation The integration of vast, complex biological data with computational models offers profound insights and predictive accuracy. Yet, such models face challenges: poor generalization and limited labeled data. Results To overcome these difficulties in binary classification tasks, we developed the Method for Optimal Classification by Aggregation (MOCA) algorithm, which addresses the problem of generalization by virtue of being an ensemble learning method and can be used in problems with limited or no labeled data. We developed both an unsupervised (uMOCA) and a supervised (sMOCA) variant of MOCA. For uMOCA, we show how to infer the MOCA weights in an unsupervised way, which are optimal under the assumption of class-conditioned independent classifier predictions. When it is possible to use labels, sMOCA uses empirically computed MOCA weights. We demonstrate the performance of uMOCA and sMOCA using simulated data as well as actual data previously used in Dialogue on Reverse Engineering and Methods (DREAM) challenges. We also propose an application of sMOCA for transfer learning where we use pre-trained computational models from a domain where labeled data are abundant and apply them to a different domain with less abundant labeled data. Availability and implementation GitHub repository, https://github.com/robert-vogel/moca.",Crossref,91.11111111111111,10.1093/bioadv/vbae093,https://doi.org/10.1093/bioadv/vbae093,Bioinformatics Advances,"Ahsen, M., Vogel, R., & Stolovitzky, G. (2024). Optimal Linear Ensemble of Binary Classifiers. Bioinformatics Advances .",Goal 17,0.02123616947884015,False,
7ca05530f9a740aea090e9eed23ed4da68aa9984,Modeling combination therapies in patient cohorts and cell cultures using correlated drug action,"Ahsen, Mehmet",2024,"Characterizing the effect of combination therapies is vital for treating diseases like cancer. We introduce correlated drug action (CDA), a baseline model for the study of drug combinations in both cell cultures and patient populations, which assumes that the efficacy of drugs in a combination may be correlated. We apply temporal CDA (tCDA) to clinical trial data, and demonstrate the utility of this approach in identifying possible synergistic combinations and others that can be explained in terms of monotherapies. Using MCF7 cell line data, we assess combinations with dose CDA (dCDA), a model that generalizes other proposed models (e.g., Bliss response-additivity, the dose equivalence principle), and introduce Excess over CDA (EOCDA), a new metric for identifying possible synergistic combinations in cell culture.",Google Scholar (SerpAPI),100.0,,https://www.cell.com/iscience/fulltext/S2589-0042(24)00126-3,"AS Arun, SC Kim, ME Ahsen, G Stolovitzky - Iscience, 2024 - cell.com","Arun, A., Kim, S., Ahsen, M., & Stolovitzky, G. (2024). Modeling combination therapies in patient cohorts and cell cultures using correlated drug action. IScience, Science Publishing Group .",Goal 3,0.01857312575611028,False,
3cb854b7c5f8f9274e370048ce6ce59e97a65759,The Societal Impact of Sharing Economy Platform Self-Regulations? An Empirical Investigation,"Ahsen, Mehmet",2022,"The rise of the sharing economy has disrupted traditional industries and has had many unforeseen societal impacts. This has sparked policy debates on whether and how the sharing economy should be regulated to promote the healthy growth of such markets. In this research, we examine the impact of platform self-regulations in the context of the home-sharing market. Using policy changes that reduce the number of Airbnb listings, we empirically test the impact of platform self-regulations on crime rates. Our results suggest that a reduction in Airbnb listings resulting from platform self-regulations leads to a reduction in crime. We further study the impact of these policy changes on different types of crime and find that these self-regulations lead to a reduction in incidents of crime such as assault, robbery, and burglary but an increase in theft incidents. In addition, we find that the impact of these policies varies based on the neighborhood’s characteristics, such as income, housing price, and population. This research contributes to our understanding of the societal impacts of the sharing economy and the impact of platform self-regulation. Our findings also provide empirical evidence to inform policy making.",Crossref,96.17486338797815,10.1287/isre.2021.1044,https://doi.org/10.1287/isre.2021.1044,Information Systems Research,"Han, W., Wang, X., Ahsen, M., & Wattal, S. (2022). The Societal Impact of Sharing Economy Platform Self-Regulations? An Empirical Investigation. Information Systems Research, INFORMS .",Goal 16,0.04861698300760976,False,
c14c1d6a3be298a081a367cd78fd5909f178bb67,Unannotated small RNA clusters associated with circulating extracellular vesicles detect early stage liver cancer,"Ahsen, Mehmet",2022,"Objective Surveillance tools for early cancer detection are suboptimal, including hepatocellular carcinoma (HCC), and biomarkers are urgently needed. Extracellular vesicles (EVs) have gained increasing scientific interest due to their involvement in tumour initiation and metastasis; however, most extracellular RNA (exRNA) blood-based biomarker studies are limited to annotated genomic regions. Design EVs were isolated with differential ultracentrifugation and integrated nanoscale deterministic lateral displacement arrays (nanoDLD) and quality assessed by electron microscopy, immunoblotting, nanoparticle tracking and deconvolution analysis. Genome-wide sequencing of the largely unexplored small exRNA landscape, including unannotated transcripts, identified and reproducibly quantified small RNA clusters (smRCs). Their key genomic features were delineated across biospecimens and EV isolation techniques in prostate cancer and HCC. Three independent exRNA cancer datasets with a total of 479 samples from 375 patients, including longitudinal samples, were used for this study. Results ExRNA smRCs were dominated by uncharacterised, unannotated small RNA with a consensus sequence of 20 nt. An unannotated 3-smRC signature was significantly overexpressed in plasma exRNA of patients with HCC (p Conclusion These findings directly lead to the prospect of a minimally invasive, blood-only, operator-independent clinical tool for HCC surveillance, thus highlighting the potential of unannotated smRCs for biomarker research in cancer.",Crossref,100.0,10.1136/gutjnl-2021-325036,https://doi.org/10.1136/gutjnl-2021-325036,Gut,"Von Felden, J., Garcia-Lezana, T., Dogra, N., Gonzalez-Kozlova, E., Ahsen, M., Craig, A., Gifford, S., Wunsch, B., Smith, J., Kim, S., & others, . (2022). Unannotated small RNA clusters associated with circulating extracellular vesicles detect early stage liver cancer. Gut, BMJ Publishing Group .",Goal 9,0.00926620806797216,False,
